staircase_procedure.thisTrialN,staircase_procedure.stepSize,staircase_procedure.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,orientation,staircase_procedure.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,orientation,absolute orientation value
48,0.5,3.5,83.1532692,83.6533896,83.6533896,83.6533896,83.9532402,-3.5,1,0.440503,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3.5,3.5
49,0.5,3.5,84.1194144,84.6199442,84.6199442,84.6199442,84.9199876,-3.5,1,0.5087626,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3.5,3.5
50,0.5,3.5,85.1529838,85.6533351,85.6533351,85.6533351,85.953445,-3.5,1,0.5132353,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3.5,3.5
51,0.5,3,86.1864466,86.6867934,86.6867934,86.6867934,86.9865421,-3,1,0.4856894,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3,3
52,0.5,3,87.2030117,87.7038995,87.7038995,87.7038995,88.0032184,3,1,0.5077907,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3,3
53,0.5,3,88.2362446,88.7366395,88.7366395,88.7366395,89.0364751,-3,1,0.7467538,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3,3
54,0.5,2.5,89.5030234,90.0032637,90.0032637,90.0032637,90.3030447,-2.5,0,1.17972,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
55,0.5,3,91.2032391,91.7033632,91.7033632,91.7033632,92.003048,3,0,0.7944076,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3,3
56,0.5,3.5,92.5198872,93.0200199,93.0200199,93.0200199,93.3194291,-3.5,0,0.8022925,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3.5,3.5
57,0.5,4,93.8530655,94.3536735,94.3536735,94.3536735,94.6534016,-4,1,0.828147,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-4,4
58,0.5,4,95.2026186,95.7033681,95.7033681,95.7033681,96.0034257,4,1,0.5829386,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,4,4
59,0.5,4,96.3026633,96.8034468,96.8034468,96.8034468,97.1029473,4,0,0.4220437,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,4,4
60,0.5,4.5,97.2530802,97.7534161,97.7534161,97.7534161,98.0532537,4.5,1,1.4579187,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,4.5,4.5
61,0.5,4.5,99.2366603,99.7367788,99.7367788,99.7367788,100.0365736,4.5,1,0.5406768,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,4.5,4.5
62,0.5,4.5,100.3030196,100.8035804,100.8035804,100.8035804,101.1030614,-4.5,1,1.0766614,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-4.5,4.5
63,0.5,4,101.903097,102.4035319,102.4035319,102.4035319,102.7034356,4,1,0.809973,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,4,4
64,0.5,4,103.2366161,103.7367988,103.7367988,103.7367988,104.0368728,-4,1,0.737954,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-4,4
65,0.5,4,104.5030947,105.0034278,105.0034278,105.0034278,105.3031549,-4,1,0.6623102,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-4,4
